Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2019,39,25-64 yr,0,0,25,7,4,13,0,2,0
2018,40,65+ yr,0,0,5,3,1,0,1,0,0
2018,41,65+ yr,0,0,5,4,3,0,1,2,0
2018,42,65+ yr,0,0,6,3,2,0,1,0,0
2018,43,65+ yr,0,0,11,8,0,0,1,1,0
2018,44,65+ yr,0,0,4,3,1,0,1,0,0
2018,45,65+ yr,0,0,4,6,0,0,1,1,0
2018,46,65+ yr,0,0,8,14,2,0,0,0,0
2018,47,65+ yr,0,0,12,15,2,0,4,0,0
2018,48,65+ yr,0,0,17,34,0,0,3,0,0
2018,49,65+ yr,0,0,10,32,1,0,0,1,0
2018,50,65+ yr,0,0,18,71,6,0,2,0,0
2018,51,65+ yr,0,0,43,102,5,1,1,1,0
2018,52,65+ yr,0,0,79,171,7,1,2,1,0
2019,1,65+ yr,0,0,106,215,17,1,4,1,0
2019,2,65+ yr,0,0,61,204,13,0,3,2,0
2019,3,65+ yr,0,0,70,161,13,0,2,0,0
2019,4,65+ yr,0,0,97,216,8,1,2,2,0
2019,5,65+ yr,0,0,144,213,9,2,4,0,0
2019,6,65+ yr,0,1,268,331,7,1,3,1,0
2019,7,65+ yr,0,0,281,293,9,0,4,1,0
2019,8,65+ yr,0,0,326,268,11,3,2,0,0
2019,9,65+ yr,0,0,395,244,11,0,3,0,0
2019,10,65+ yr,0,0,406,235,13,2,7,0,0
2019,11,65+ yr,0,0,482,210,14,3,7,2,0
2019,12,65+ yr,0,0,355,168,5,5,3,4,0
2019,13,65+ yr,0,0,311,98,5,5,8,2,0
2019,14,65+ yr,0,0,269,82,4,1,6,1,0
2019,15,65+ yr,0,0,177,54,2,2,3,0,0
2019,16,65+ yr,0,0,86,30,2,1,2,1,0
2019,17,65+ yr,0,0,49,20,0,3,8,2,0
2019,18,65+ yr,0,0,36,7,4,2,3,0,0
2019,19,65+ yr,0,0,20,11,0,4,4,0,0
2019,20,65+ yr,0,0,16,3,1,4,1,0,0
2019,21,65+ yr,0,0,14,4,1,0,1,1,0
2019,22,65+ yr,0,0,11,2,1,1,5,0,0
2019,23,65+ yr,0,0,14,4,0,2,0,0,0
2019,24,65+ yr,0,0,17,2,0,0,0,0,0
2019,25,65+ yr,0,0,18,2,0,0,0,0,0
2019,26,65+ yr,0,0,19,5,0,1,1,0,0
2019,27,65+ yr,0,0,12,5,0,1,0,0,0
2019,28,65+ yr,0,0,15,2,1,1,0,0,0
2019,29,65+ yr,0,0,23,1,0,1,0,0,0
2019,30,65+ yr,0,0,9,6,0,2,0,0,0
2019,31,65+ yr,0,0,9,0,1,2,2,0,0
2019,32,65+ yr,0,0,15,0,0,1,0,0,0
2019,33,65+ yr,0,0,9,4,0,2,0,0,0
2019,34,65+ yr,0,0,12,0,0,0,0,0,0
2019,35,65+ yr,0,0,16,4,1,0,0,0,0
2019,36,65+ yr,0,0,28,1,1,0,0,0,0
2019,37,65+ yr,0,0,31,0,3,1,0,0,0
2019,38,65+ yr,0,0,24,1,1,1,0,1,0
2019,39,65+ yr,0,0,21,0,2,0,0,0,0
2017,40,0-4 yr,0,0,7,2,0,0,0,0,0
2017,41,0-4 yr,0,0,6,4,2,0,2,2,0
2017,42,0-4 yr,0,0,12,4,0,0,1,1,0
2017,43,0-4 yr,0,0,17,7,7,0,0,3,0
2017,44,0-4 yr,0,0,20,5,7,0,3,3,0
2017,45,0-4 yr,0,0,29,3,0,0,1,0,0
2017,46,0-4 yr,0,0,33,12,0,0,2,2,0
2017,47,0-4 yr,0,0,43,10,0,1,4,2,0
2017,48,0-4 yr,0,0,61,5,1,0,4,0,0
2017,49,0-4 yr,0,0,85,9,0,3,3,2,0
2017,50,0-4 yr,0,0,115,18,0,2,9,0,0
2017,51,0-4 yr,0,0,138,22,1,5,18,5,0
2017,52,0-4 yr,0,0,193,24,1,7,19,2,0
2018,1,0-4 yr,0,0,166,45,0,10,26,2,0
2018,2,0-4 yr,0,0,204,40,2,6,17,4,0
2018,3,0-4 yr,0,0,184,64,0,5,33,5,0
2018,4,0-4 yr,0,0,194,64,0,11,42,8,0
2018,5,0-4 yr,0,0,168,74,1,15,45,15,0
2018,6,0-4 yr,0,0,133,71,3,22,39,22,0
2018,7,0-4 yr,0,0,94,62,0,18,47,15,0
2018,8,0-4 yr,0,0,86,44,0,20,55,11,0
2018,9,0-4 yr,0,0,56,20,1,7,42,14,0
2018,10,0-4 yr,0,0,29,20,3,8,23,7,0
2018,11,0-4 yr,0,0,15,32,2,11,21,15,0
2018,12,0-4 yr,0,0,19,10,1,9,15,12,0
2018,13,0-4 yr,0,0,16,18,0,11,28,10,0
2018,14,0-4 yr,0,0,15,15,0,7,24,6,0
2018,15,0-4 yr,0,0,13,11,0,3,20,0,0
2018,16,0-4 yr,0,0,5,6,0,4,5,8,0
2018,17,0-4 yr,0,0,5,8,0,3,10,3,0
2018,18,0-4 yr,0,0,3,9,0,2,8,1,0
2018,19,0-4 yr,0,0,3,2,0,0,1,0,0
2018,20,0-4 yr,0,0,1,5,0,1,4,0,0
